team 1,team 2,original team 1 score,original team 2 score,original winner,team 1 threes,team 2 threes,adjusted team 1 score,adjusted team 2 score,adjusted winner
St. John's,Providence,92,81,St. John's,10,8,82,73,St. John's
UConn,Providence,59,70,Providence,4,6,55,64,Providence
Providence,UConn,61,73,UConn,4,5,57,68,UConn
Xavier,Providence,68,83,Providence,3,11,65,72,Providence
Iona,Seton Hall,64,86,Seton Hall,9,7,55,79,Seton Hall
Seton Hall,Oregon,70,83,Oregon,14,9,56,74,Oregon
Seton Hall,Penn State,98,92,Seton Hall,7,13,91,79,Seton Hall
Wagner,Seton Hall,45,78,Seton Hall,3,5,42,73,Seton Hall
St. John's,Seton Hall,68,77,Seton Hall,4,5,64,72,Seton Hall
Seton Hall,Xavier,85,68,Seton Hall,7,5,78,63,Seton Hall
Seton Hall,Villanova,74,76,Villanova,8,9,66,67,Villanova
Villanova,Seton Hall,80,72,Villanova,10,8,70,64,Villanova
Seton Hall,UConn,80,73,Seton Hall,9,6,71,67,Seton Hall
Saint Peter's,St. John's,75,76,St. John's,9,7,66,69,St. John's
St. John's,BYU,68,74,BYU,4,10,64,64,St. John's
Rider,St. John's,79,82,St. John's,11,5,68,77,St. John's
St. John's,Xavier,61,69,Xavier,5,0,56,69,Xavier
St. John's,UConn,74,70,St. John's,7,7,67,63,St. John's
Utah Valley,St. John's,78,96,St. John's,4,9,74,87,St. John's
Villanova,St. John's,59,70,St. John's,8,10,51,60,St. John's
Xavier,St. John's,84,93,St. John's,11,11,73,82,St. John's
St. John's,Villanova,58,81,Villanova,3,11,55,70,Villanova
Central Connecticut,UConn,75,102,UConn,8,10,67,92,UConn
UConn,USC,61,58,UConn,7,3,54,55,USC
UConn,Xavier,80,72,UConn,11,10,69,62,UConn
UConn,Villanova,60,68,Villanova,7,5,53,63,Villanova
Villanova,Arizona State,83,74,Villanova,8,10,75,64,Villanova
Oakland,Xavier,49,101,Xavier,7,13,42,88,Xavier
Bradley,Xavier,50,51,Xavier,6,5,44,46,Xavier
Toledo,Xavier,73,76,Xavier,10,6,63,70,Xavier
Eastern Kentucky,Xavier,96,99,Xavier,11,6,85,93,Xavier
Tennessee Tech,Xavier,48,79,Xavier,4,7,44,72,Xavier
Eastern Washington,Washington State,68,71,Washington State,9,10,59,61,Washington State
Eastern Washington,Arizona,67,70,Arizona,10,5,57,65,Arizona
Eastern Washington,Oregon,52,69,Oregon,5,8,47,61,Oregon
College of Idaho,Eastern Washington,56,80,Eastern Washington,4,10,52,70,Eastern Washington
Eastern Washington,Saint Mary's,75,80,Saint Mary's,7,7,68,73,Saint Mary's
Eastern Washington,Northern Arizona,80,64,Eastern Washington,8,7,72,57,Eastern Washington
Southern Utah,Eastern Washington,63,75,Eastern Washington,7,6,56,69,Eastern Washington
Southern Utah,Eastern Washington,99,94,Southern Utah,5,19,94,75,Southern Utah
Eastern Washington,Northern Colorado,76,78,Northern Colorado,3,13,73,65,Eastern Washington
Eastern Washington,Northern Colorado,82,76,Eastern Washington,5,9,77,67,Eastern Washington
Sacramento State,Eastern Washington,60,68,Eastern Washington,8,6,52,62,Eastern Washington
Sacramento State,Eastern Washington,79,94,Eastern Washington,11,11,68,83,Eastern Washington
Eastern Washington,Idaho,89,75,Eastern Washington,11,8,78,67,Eastern Washington
Idaho,Eastern Washington,64,90,Eastern Washington,3,10,61,80,Eastern Washington
Eastern Washington,Montana State,93,77,Eastern Washington,10,9,83,68,Eastern Washington
Eastern Washington,Montana State,85,69,Eastern Washington,13,4,72,65,Eastern Washington
Montana,Eastern Washington,76,90,Eastern Washington,7,11,69,79,Eastern Washington
Eastern Washington,Montana,90,76,Eastern Washington,7,6,83,70,Eastern Washington
Idaho State,Santa Clara,49,62,Santa Clara,8,4,41,58,Santa Clara
Nicholls,Idaho State,70,51,Nicholls,7,5,63,46,Nicholls
Idaho State,UC Davis,61,70,UC Davis,7,6,54,64,UC Davis
Idaho State,Utah,59,75,Utah,5,9,54,66,Utah
Bethesda,Idaho State,48,87,Idaho State,3,8,45,79,Idaho State
SAGU American Indian College,Idaho State,54,89,Idaho State,4,8,50,81,Idaho State
SAGU American Indian College,Idaho State,46,113,Idaho State,7,17,39,96,Idaho State
Idaho State,Northern Colorado,64,69,Northern Colorado,6,7,58,62,Northern Colorado
Idaho State,Northern Colorado,71,56,Idaho State,3,1,68,55,Idaho State
Idaho State,Northern Arizona,73,69,Idaho State,5,8,68,61,Idaho State
Idaho State,Northern Arizona,76,70,Idaho State,10,6,66,64,Idaho State
Sacramento State,Idaho State,56,57,Idaho State,7,4,49,53,Idaho State
Sacramento State,Idaho State,70,65,Sacramento State,9,5,61,60,Sacramento State
Idaho State,Portland State,64,57,Idaho State,10,6,54,51,Idaho State
Idaho State,Portland State,43,69,Portland State,3,3,40,66,Portland State
Northwest University,Idaho State,48,89,Idaho State,5,11,43,78,Idaho State
Idaho,Idaho State,43,69,Idaho State,3,8,40,61,Idaho State
Idaho,Idaho State,58,64,Idaho State,7,8,51,56,Idaho State
George Fox,Idaho State,59,84,Idaho State,11,9,48,75,Idaho State
Montana,Idaho State,64,58,Montana,7,4,57,54,Montana
Montana,Idaho State,59,58,Montana,5,7,54,51,Montana
Idaho,Sacramento State,55,77,Sacramento State,6,5,49,72,Sacramento State
Idaho,Sacramento State,57,73,Sacramento State,4,8,53,65,Sacramento State
Idaho,Washington State,58,61,Washington State,7,5,51,56,Washington State
Idaho,CSU Bakersfield,66,76,CSU Bakersfield,13,1,53,75,CSU Bakersfield
Idaho,Utah,41,79,Utah,4,6,37,73,Utah
Northern Arizona,Idaho,78,65,Northern Arizona,9,7,69,58,Northern Arizona
Northern Arizona,Idaho,83,78,Northern Arizona,10,8,73,70,Northern Arizona
Idaho,Southern Utah,80,85,Southern Utah,7,10,73,75,Southern Utah
Idaho,Southern Utah,67,83,Southern Utah,2,10,65,73,Southern Utah
Northern Colorado,Idaho,74,54,Northern Colorado,12,4,62,50,Northern Colorado
Northern Colorado,Idaho,75,61,Northern Colorado,11,1,64,60,Northern Colorado
Weber State,Idaho,81,56,Weber State,9,5,72,51,Weber State
Weber State,Idaho,81,62,Weber State,10,7,71,55,Weber State
Idaho,Portland State,64,84,Portland State,5,9,59,75,Portland State
Portland State,Idaho,71,40,Portland State,11,2,60,38,Portland State
Montana State,Idaho,69,74,Idaho,0,9,69,65,Montana State
Montana State,Idaho,71,61,Montana State,4,4,67,57,Montana State
Montana,USC,62,76,USC,4,6,58,70,USC
Montana,Southern Utah,63,64,Southern Utah,6,6,57,58,Southern Utah
Montana,Southern Utah,74,75,Southern Utah,8,10,66,65,Montana
Montana,Georgia,50,63,Georgia,5,5,45,58,Georgia
Yellowstone Christian College,Montana,42,102,Montana,6,5,36,97,Montana
Montana,Washington,66,58,Montana,4,2,62,56,Montana
Dickinson State,Montana,51,78,Montana,5,2,46,76,Montana
Montana,Arizona,64,70,Arizona,4,3,60,67,Arizona
Northern Colorado,Montana,64,62,Northern Colorado,9,1,55,61,Montana
Northern Colorado,Montana,54,56,Montana,4,2,50,54,Montana
Whitworth,Montana,67,84,Montana,5,6,62,78,Montana
Northern Arizona,Montana,56,67,Montana,6,8,50,59,Montana
Northern Arizona,Montana,62,58,Northern Arizona,5,8,57,50,Northern Arizona
Montana,Sacramento State,78,66,Montana,4,5,74,61,Montana
Montana,Sacramento State,83,89,Sacramento State,6,9,77,80,Sacramento State
Montana,Portland State,70,64,Montana,4,6,66,58,Montana
Montana,Portland State,56,61,Portland State,3,5,53,56,Portland State
Weber State,Montana,67,80,Montana,3,9,64,71,Montana
Weber State,Montana,91,82,Weber State,5,7,86,75,Weber State
Montana State,UNLV,91,78,Montana State,10,11,81,67,Montana State
Montana State,Pacific,70,74,Pacific,9,4,61,70,Pacific
Yellowstone Christian College,Montana State,74,114,Montana State,13,11,61,103,Montana State
Montana State,Washington State,54,82,Washington State,6,7,48,75,Washington State
Montana State,Portland,59,62,Portland,6,3,53,59,Portland
Montana-Western,Montana State,67,96,Montana State,10,9,57,87,Montana State
Montana State,Northern Colorado,79,67,Montana State,5,11,74,56,Montana State
Montana State,Northern Colorado,76,74,Montana State,4,9,72,65,Montana State
Portland State,Montana State,64,71,Montana State,7,6,57,65,Montana State
Portland State,Montana State,64,69,Montana State,10,6,54,63,Montana State
Montana State,Northern Arizona,62,51,Montana State,6,3,56,48,Montana State
Montana State,Northern Arizona,58,53,Montana State,6,1,52,52,Montana State
Montana State,Weber State,88,96,Weber State,13,7,75,89,Weber State
Montana State,Weber State,74,82,Weber State,7,8,67,74,Weber State
Northern Arizona,Arizona,53,96,Arizona,5,13,48,83,Arizona
UC Riverside,Northern Arizona,74,50,UC Riverside,13,4,61,46,UC Riverside
Northern Arizona,Colorado State,52,91,Colorado State,5,11,47,80,Colorado State
Northern Arizona,Texas State,65,70,Texas State,7,6,58,64,Texas State
Northern Arizona,Denver,68,65,Northern Arizona,3,6,65,59,Northern Arizona
Northern Arizona,Gonzaga,58,88,Gonzaga,5,7,53,81,Gonzaga
Northern Colorado,Northern Arizona,64,68,Northern Arizona,10,6,54,62,Northern Arizona
Northern Arizona,Weber State,59,92,Weber State,6,18,53,74,Weber State
Northern Arizona,Weber State,52,74,Weber State,4,8,48,66,Weber State
Northern Arizona,Southern Utah,80,85,Southern Utah,14,7,66,78,Southern Utah
Southern Utah,Northern Arizona,92,62,Southern Utah,11,9,81,53,Southern Utah
Colorado Christian,Northern Colorado,62,87,Northern Colorado,5,7,57,80,Northern Colorado
Regis Univ,Northern Colorado,58,83,Northern Colorado,4,11,54,72,Northern Colorado
Northern Colorado,Colorado,45,81,Colorado,6,6,39,75,Colorado
Northern Colorado,Denver,83,75,Northern Colorado,10,3,73,72,Northern Colorado
Northern Colorado,Utah State,50,63,Utah State,6,3,44,60,Utah State
Warner Pacific,Northern Colorado,60,89,Northern Colorado,3,14,57,75,Northern Colorado
Portland State,Northern Colorado,64,66,Northern Colorado,6,5,58,61,Northern Colorado
Portland State,Northern Colorado,73,65,Portland State,4,12,69,53,Portland State
Portland State,Portland,73,86,Portland,6,3,67,83,Portland
Northwest University,Portland State,48,88,Portland State,6,8,42,80,Portland State
Portland State,Washington State,60,69,Washington State,4,7,56,62,Washington State
Weber State,Portland State,94,66,Weber State,10,7,84,59,Weber State
Weber State,Portland State,72,74,Portland State,1,8,71,66,Weber State
Portland State,Oregon State,62,67,Oregon State,7,8,55,59,Oregon State
NW Nazarene,Portland State,75,72,NW Nazarene,7,5,68,67,NW Nazarene
St. Martin's,Portland State,60,69,Portland State,11,5,49,64,Portland State
Simpson University,Portland State,66,99,Portland State,7,14,59,85,Portland State
Bethesda,Sacramento State,57,101,Sacramento State,9,10,48,91,Sacramento State
Sacramento State,Saint Mary's,45,63,Saint Mary's,3,4,42,59,Saint Mary's
Fresno Pacific,Sacramento State,54,85,Sacramento State,4,5,50,80,Sacramento State
Sacramento State,California Baptist,71,83,California Baptist,4,12,67,71,California Baptist
Sacramento State,California Baptist,70,69,Sacramento State,7,10,63,59,Sacramento State
Sacramento State,Southern Utah,69,88,Southern Utah,7,13,62,75,Southern Utah
Sacramento State,Southern Utah,57,77,Southern Utah,3,7,54,70,Southern Utah
Weber State,Sacramento State,82,73,Weber State,3,6,79,67,Weber State
Weber State,Sacramento State,72,70,Weber State,5,5,67,65,Weber State
Southern Utah,Loyola Marymount,83,85,Loyola Marymount,11,6,72,79,Loyola Marymount
St. Katherine,Southern Utah,47,95,Southern Utah,6,12,41,83,Southern Utah
Southern Utah,Utah Valley,81,71,Southern Utah,7,5,74,66,Southern Utah
Dixie State,Southern Utah,78,85,Southern Utah,9,11,69,74,Southern Utah
Bethesda,Southern Utah,64,98,Southern Utah,8,6,56,92,Southern Utah
Bethesda,Southern Utah,57,96,Southern Utah,6,13,51,83,Southern Utah
Southern Utah,Weber State,67,91,Weber State,6,10,61,81,Weber State
Weber State,Southern Utah,72,77,Southern Utah,8,8,64,69,Southern Utah
Benedictine (AZ),Southern Utah,58,110,Southern Utah,8,11,50,99,Southern Utah
San Diego Christian,Southern Utah,50,109,Southern Utah,3,13,47,96,Southern Utah
Westminster (UT),Weber State,73,85,Weber State,9,10,64,75,Weber State
Weber State,Boise State,59,70,Boise State,6,11,53,59,Boise State
Weber State,BYU,79,87,BYU,10,6,69,81,BYU
Utah Valley,Weber State,62,70,Weber State,4,8,58,62,Weber State
Yellowstone Christian College,Weber State,44,124,Weber State,6,22,38,102,Weber State
Tarleton,Weber State,79,94,Weber State,9,14,70,80,Weber State
St. Andrews,Campbell,51,85,Campbell,2,5,49,80,Campbell
New Orleans,Campbell,70,79,Campbell,4,5,66,74,Campbell
Florida National,Campbell,92,122,Campbell,12,16,80,106,Campbell
Campbell,Elon,56,66,Elon,5,11,51,55,Elon
UNC Wilmington,Campbell,78,59,UNC Wilmington,8,3,70,56,UNC Wilmington
Campbell,Winthrop,83,84,Winthrop,8,5,75,79,Winthrop
Campbell,Winthrop,76,94,Winthrop,5,9,71,85,Winthrop
Campbell,Gardner-Webb,70,61,Campbell,10,8,60,53,Campbell
Campbell,Gardner-Webb,70,85,Gardner-Webb,7,7,63,78,Gardner-Webb
Campbell,Longwood,64,58,Campbell,3,4,61,54,Campbell
Campbell,Longwood,69,78,Longwood,6,9,63,69,Longwood
Presbyterian,Campbell,46,48,Campbell,4,5,42,43,Campbell
Presbyterian,Campbell,51,73,Campbell,2,9,49,64,Campbell
Radford,Campbell,97,91,Radford,6,14,91,77,Radford
Radford,Campbell,67,61,Radford,6,8,61,53,Radford
Charleston Southern,Campbell,58,59,Campbell,5,4,53,55,Campbell
Charleston Southern,Campbell,67,75,Campbell,7,8,60,67,Campbell
South Carolina Upstate,Campbell,71,72,Campbell,7,11,64,61,South Carolina Upstate
South Carolina Upstate,Campbell,49,64,Campbell,5,4,44,60,Campbell
Campbell,Hampton,76,57,Campbell,13,7,63,50,Campbell
Campbell,Hampton,73,68,Campbell,11,5,62,63,Hampton
High Point,Campbell,48,68,Campbell,2,8,46,60,Campbell
Eastern Kentucky,Charleston Southern,60,50,Eastern Kentucky,4,3,56,47,Eastern Kentucky
North Carolina A&T,Charleston Southern,70,63,North Carolina A&T,6,4,64,59,North Carolina A&T
Carver College,Charleston Southern,59,94,Charleston Southern,7,9,52,85,Charleston Southern
Hampton,Charleston Southern,67,55,Hampton,4,11,63,44,Hampton
Hampton,Charleston Southern,70,68,Hampton,8,6,62,62,Hampton
Winthrop,Charleston Southern,85,69,Winthrop,12,11,73,58,Winthrop
Winthrop,Charleston Southern,78,76,Winthrop,9,10,69,66,Winthrop
Radford,Charleston Southern,79,64,Radford,6,8,73,56,Radford
Radford,Charleston Southern,68,48,Radford,6,7,62,41,Radford
Charleston Southern,UNC Asheville,54,92,UNC Asheville,6,13,48,79,UNC Asheville
Charleston Southern,UNC Asheville,75,83,UNC Asheville,5,6,70,77,UNC Asheville
Charleston Southern,Gardner-Webb,62,74,Gardner-Webb,8,13,54,61,Gardner-Webb
Charleston Southern,Gardner-Webb,71,80,Gardner-Webb,13,13,58,67,Gardner-Webb
Charleston Southern,High Point,73,77,High Point,9,5,64,72,High Point
Charleston Southern,High Point,69,68,Charleston Southern,9,5,60,63,High Point
Longwood,Charleston Southern,70,62,Longwood,7,9,63,53,Longwood
Longwood,Charleston Southern,64,58,Longwood,9,8,55,50,Longwood
Charleston Southern,Presbyterian,78,77,Charleston Southern,7,4,71,73,Presbyterian
Gardner-Webb,Western Kentucky,84,86,Western Kentucky,12,8,72,78,Western Kentucky
Gardner-Webb,East Tennessee State,60,65,East Tennessee State,11,10,49,55,East Tennessee State
VMI,Gardner-Webb,77,88,Gardner-Webb,13,11,64,77,Gardner-Webb
Gardner-Webb,Hampton,69,80,Hampton,6,10,63,70,Hampton
Gardner-Webb,Hampton,80,69,Gardner-Webb,13,9,67,60,Gardner-Webb
Gardner-Webb,Winthrop,65,75,Winthrop,7,11,58,64,Winthrop
Gardner-Webb,Winthrop,83,91,Winthrop,6,10,77,81,Winthrop
UNC Asheville,Gardner-Webb,79,75,UNC Asheville,7,10,72,65,UNC Asheville
UNC Asheville,Gardner-Webb,57,84,Gardner-Webb,4,10,53,74,Gardner-Webb
High Point,Gardner-Webb,59,55,High Point,2,8,57,47,High Point
High Point,Gardner-Webb,72,69,High Point,4,12,68,57,High Point
Presbyterian,Gardner-Webb,53,59,Gardner-Webb,6,4,47,55,Gardner-Webb
Presbyterian,Gardner-Webb,64,91,Gardner-Webb,8,13,56,78,Gardner-Webb
Gardner-Webb,South Carolina Upstate,69,77,South Carolina Upstate,9,8,60,69,South Carolina Upstate
Gardner-Webb,Longwood,54,57,Longwood,4,13,50,44,Gardner-Webb
Gardner-Webb,Longwood,71,78,Longwood,9,8,62,70,Longwood
Gardner-Webb,Radford,69,57,Gardner-Webb,9,5,60,52,Gardner-Webb
Gardner-Webb,Radford,77,49,Gardner-Webb,11,7,66,42,Gardner-Webb
Gardner-Webb,South Carolina Upstate,69,58,Gardner-Webb,5,3,64,55,Gardner-Webb
Hampton,Norfolk St,64,76,Norfolk St,8,5,56,71,Norfolk St
Hampton,VMI,64,79,VMI,10,10,54,69,VMI
William & Mary,Hampton,75,58,William & Mary,10,1,65,57,William & Mary
Hampton,Howard,76,81,Howard,6,3,70,78,Howard
Hampton,Radford,66,79,Radford,9,9,57,70,Radford
Hampton,Radford,65,76,Radford,5,8,60,68,Radford
UNC Asheville,Hampton,71,73,Hampton,6,4,65,69,Hampton
UNC Asheville,Hampton,85,77,UNC Asheville,9,8,76,69,UNC Asheville
Hampton,South Carolina Upstate,69,68,Hampton,8,12,61,56,Hampton
Hampton,South Carolina Upstate,84,74,Hampton,10,6,74,68,Hampton
High Point,Hampton,72,58,High Point,3,8,69,50,High Point
High Point,Hampton,71,76,Hampton,7,11,64,65,Hampton
Presbyterian,Hampton,85,70,Presbyterian,7,8,78,62,Presbyterian
Presbyterian,Hampton,57,62,Hampton,1,5,56,57,Hampton
Hampton,Longwood,73,83,Longwood,11,12,62,71,Longwood
Hampton,Longwood,74,68,Hampton,10,7,64,61,Hampton
Presbyterian,Hampton,65,67,Hampton,6,7,59,60,Hampton
High Point,Elon,75,76,Elon,5,8,70,68,High Point
High Point,UNC Asheville,67,80,UNC Asheville,2,13,65,67,UNC Asheville
High Point,UNC Asheville,84,90,UNC Asheville,5,12,79,78,High Point
High Point,William & Mary,71,49,High Point,7,5,64,44,High Point
High Point,Eastern Kentucky,67,86,Eastern Kentucky,8,10,59,76,Eastern Kentucky
South Carolina Upstate,High Point,52,63,High Point,4,6,48,57,High Point
South Carolina Upstate,High Point,60,51,South Carolina Upstate,3,6,57,45,South Carolina Upstate
High Point,Longwood,54,75,Longwood,5,12,49,63,Longwood
High Point,Longwood,54,67,Longwood,6,11,48,56,Longwood
Presbyterian,High Point,57,81,High Point,3,6,54,75,High Point
Presbyterian,High Point,71,56,Presbyterian,8,3,63,53,Presbyterian
Winthrop,High Point,76,70,Winthrop,7,6,69,64,Winthrop
Winthrop,High Point,71,63,Winthrop,10,5,61,58,Winthrop
South Carolina Upstate,High Point,60,65,High Point,7,4,53,61,High Point
Longwood,VMI,71,84,VMI,6,6,65,78,VMI
Greensboro,Longwood,67,64,Greensboro,7,9,60,55,Greensboro
North Carolina A&T,Longwood,60,77,Longwood,7,11,53,66,Longwood
Longwood,Radford,66,67,Radford,14,5,52,62,Radford
Longwood,Radford,53,62,Radford,8,7,45,55,Radford
The Citadel,Longwood,91,89,The Citadel,11,1,80,88,Longwood
UNC Asheville,Longwood,80,73,UNC Asheville,10,5,70,68,UNC Asheville
UNC Asheville,Longwood,55,65,Longwood,8,4,47,61,Longwood
Longwood,South Carolina Upstate,69,71,South Carolina Upstate,5,12,64,59,Longwood
Longwood,South Carolina Upstate,59,65,South Carolina Upstate,7,8,52,57,South Carolina Upstate
Longwood,Winthrop,61,72,Winthrop,4,4,57,68,Winthrop
Longwood,Winthrop,50,70,Winthrop,5,7,45,63,Winthrop
Longwood,Presbyterian,49,45,Longwood,4,10,45,35,Longwood
Longwood,Presbyterian,54,66,Presbyterian,3,7,51,59,Presbyterian
Carver College,Presbyterian,46,85,Presbyterian,3,8,43,77,Presbyterian
South Carolina State,Presbyterian,56,62,Presbyterian,6,1,50,61,Presbyterian
Presbyterian,The Citadel,82,94,The Citadel,8,11,74,83,The Citadel
Radford,Presbyterian,71,65,Radford,5,9,66,56,Radford
Radford,Presbyterian,63,65,Presbyterian,5,7,58,58,Radford
Winthrop,Presbyterian,72,58,Winthrop,5,5,67,53,Winthrop
Winthrop,Presbyterian,78,66,Winthrop,10,6,68,60,Winthrop
South Carolina Upstate,Presbyterian,65,75,Presbyterian,3,4,62,71,Presbyterian
South Carolina Upstate,Presbyterian,65,51,South Carolina Upstate,9,5,56,46,South Carolina Upstate
Radford,Norfolk St,54,57,Norfolk St,7,9,47,48,Norfolk St
Radford,James Madison,59,67,James Madison,4,7,55,60,James Madison
Mars Hill,Radford,50,98,Radford,5,8,45,90,Radford
Radford,Vanderbilt,50,59,Vanderbilt,1,8,49,51,Vanderbilt
Radford,UNC Asheville,68,76,UNC Asheville,5,13,63,63,Radford
Radford,UNC Asheville,73,63,Radford,5,6,68,57,Radford
South Carolina Upstate,Radford,61,63,Radford,8,1,53,62,Radford
South Carolina Upstate,Radford,66,102,Radford,6,13,60,89,Radford
Winthrop,Radford,80,64,Winthrop,9,7,71,57,Winthrop
Winthrop,Radford,55,47,Winthrop,8,1,47,46,Winthrop
Mount Aloysius,Radford,51,74,Radford,8,6,43,68,Radford
South Wesleyan,South Carolina Upstate,82,72,South Wesleyan,11,7,71,65,South Wesleyan
South Carolina Upstate,Furman,63,91,Furman,8,8,55,83,Furman
Eastern Kentucky,South Carolina Upstate,95,78,Eastern Kentucky,10,7,85,71,Eastern Kentucky
Georgia Southern,South Carolina Upstate,72,69,Georgia Southern,2,10,70,59,Georgia Southern
Winthrop,South Carolina Upstate,95,77,Winthrop,13,10,82,67,Winthrop
Winthrop,South Carolina Upstate,107,77,Winthrop,16,12,91,65,Winthrop
South Carolina Upstate,UNC Greensboro,57,65,UNC Greensboro,7,6,50,59,UNC Greensboro
South Carolina Upstate,Tennessee,60,80,Tennessee,9,5,51,75,Tennessee
UNC Wilmington,UNC Asheville,76,68,UNC Wilmington,4,3,72,65,UNC Wilmington
Western Carolina,UNC Asheville,83,81,Western Carolina,5,6,78,75,Western Carolina
South Carolina State,UNC Asheville,56,77,UNC Asheville,3,9,53,68,UNC Asheville
UNC Asheville,Chattanooga,66,69,Chattanooga,6,9,60,60,High Point
UNC Asheville,Marshall,67,88,Marshall,9,12,58,76,Marshall
Radford,UNC Asheville,68,76,UNC Asheville,5,13,63,63,Gardner-Webb
UNC Asheville,Winthrop,80,84,Winthrop,11,10,69,74,Winthrop
UNC Asheville,Winthrop,57,55,UNC Asheville,6,3,51,52,Winthrop
Winthrop,UNC Greensboro,75,67,Winthrop,6,7,69,60,Winthrop
Winthrop,Little Rock,80,75,Winthrop,5,7,75,68,Winthrop
Furman,Winthrop,71,87,Winthrop,6,8,65,79,Winthrop
North Carolina A&T,Illinois,60,122,Illinois,5,17,55,105,Illinois
Chicago State,Illinois,38,97,Illinois,4,7,34,90,Illinois
Ohio,Illinois,75,77,Illinois,9,6,66,71,Illinois
Illinois,Missouri,78,81,Missouri,3,5,75,76,Missouri
Minnesota,Illinois,65,92,Illinois,7,7,58,85,Illinois
Illinois,Rutgers,88,91,Rutgers,9,8,79,83,Rutgers
Illinois,Penn State,98,81,Illinois,5,7,93,74,Illinois
Indiana,Illinois,60,69,Illinois,7,7,53,62,Illinois
Purdue,Illinois,58,66,Illinois,7,7,51,59,Illinois
Illinois,Northwestern,81,56,Illinois,11,6,70,50,Illinois
Maryland,Illinois,66,63,Maryland,8,5,58,58,Illinois
Ohio State,Illinois,87,81,Ohio State,11,9,76,72,Ohio State
Penn State,Illinois,65,79,Illinois,7,7,58,72,Illinois
Iowa,Illinois,75,80,Illinois,10,8,65,72,Illinois
Illinois,Indiana,75,71,Illinois,7,4,68,67,Illinois
Wisconsin,Illinois,60,75,Illinois,4,5,56,70,Illinois
Illinois,Nebraska,77,72,Illinois,7,7,70,65,Illinois
Northwestern,Illinois,66,73,Illinois,6,8,60,65,Illinois
Illinois,Minnesota,94,63,Illinois,7,8,87,55,Illinois
Illinois,Michigan State,72,81,Michigan State,5,4,67,77,Michigan State
Nebraska,Illinois,70,86,Illinois,5,4,65,82,Illinois
Illinois,Wisconsin,74,69,Illinois,5,10,69,59,Illinois
Tennessee Tech,Indiana,59,89,Indiana,5,5,54,84,Indiana
Indiana,Stanford,79,63,Indiana,5,5,74,58,Indiana
Northwestern,Indiana,74,67,Northwestern,7,7,67,60,Northwestern
Penn State,Indiana,85,87,Indiana,12,6,73,81,Indiana
Maryland,Indiana,55,63,Indiana,7,4,48,59,Indiana
Indiana,Wisconsin,73,80,Wisconsin,8,8,65,72,Wisconsin
Indiana,Nebraska,84,76,Indiana,9,9,75,67,Indiana
Purdue,Indiana,81,69,Purdue,11,3,70,66,Purdue
Indiana,Iowa,81,69,Indiana,8,5,73,64,Indiana
Rutgers,Indiana,74,70,Rutgers,8,10,66,60,Rutgers
Iowa,Indiana,65,67,Indiana,8,6,57,61,Indiana
Indiana,Northwestern,79,76,Indiana,8,10,71,66,Indiana
Indiana,Ohio State,59,78,Ohio State,5,7,54,71,Ohio State
Minnesota,Indiana,72,82,Indiana,4,7,68,75,Indiana
Michigan State,Indiana,78,71,Michigan State,7,4,71,67,Michigan State
Indiana,Rutgers,63,74,Rutgers,8,11,55,63,Rutgers
Michigan,Indiana,73,57,Michigan,8,4,65,53,Michigan
North Carolina Central,Iowa,67,97,Iowa,6,10,61,87,Iowa
Southern,Iowa,76,103,Iowa,7,12,69,91,Iowa
Western Illinois,Iowa,58,99,Iowa,6,8,52,91,Iowa
Northern Illinois,Iowa,53,106,Iowa,2,12,51,94,Iowa
Iowa,Gonzaga,88,99,Gonzaga,4,13,84,86,Gonzaga
Purdue,Iowa,55,70,Iowa,8,12,47,58,Iowa
Iowa,Minnesota,95,102,Minnesota,10,17,85,85,Iowa
Northwestern,Iowa,72,87,Iowa,11,11,61,76,Iowa
Iowa,Rutgers,77,75,Iowa,7,9,70,66,Iowa
Iowa,Maryland,89,67,Iowa,13,12,76,55,Iowa
Minnesota,Iowa,71,86,Iowa,10,9,61,77,Iowa
Iowa,Northwestern,96,73,Iowa,10,9,86,64,Iowa
Michigan State,Iowa,78,84,Iowa,12,5,66,79,Iowa
Ohio State,Iowa,89,85,Ohio State,14,14,75,71,Ohio State
Rutgers,Iowa,66,79,Iowa,6,11,60,68,Iowa
Iowa,Michigan State,88,58,Iowa,13,6,75,52,Iowa
Iowa,Wisconsin,77,62,Iowa,12,13,65,49,Iowa
Penn State,Iowa,68,74,Iowa,11,10,57,64,Iowa
Iowa,Michigan,57,79,Michigan,6,8,51,71,Michigan
Iowa,Ohio State,73,57,Iowa,10,5,63,52,Iowa
Old Dominion,Maryland,67,85,Maryland,6,10,61,75,Maryland
Navy,Maryland,52,82,Maryland,6,8,46,74,Maryland
Mount St. Mary's,Maryland,61,79,Maryland,8,7,53,72,Maryland
Saint Peter's,Maryland,57,90,Maryland,8,9,49,81,Maryland
Rutgers,Maryland,74,60,Rutgers,9,4,65,56,Rutgers
Maryland,Purdue,70,73,Purdue,10,10,60,63,Purdue
Maryland,Wisconsin,70,64,Maryland,6,8,64,56,Maryland
Michigan,Maryland,84,73,Michigan,6,13,78,60,Michigan
Maryland,Illinois,66,63,Maryland,8,5,58,58,Iowa
Wingate,Maryland,58,100,Maryland,6,12,52,88,Maryland
Maryland,Michigan,63,87,Michigan,4,12,59,75,Michigan
Maryland,Minnesota,63,49,Maryland,8,5,55,44,Maryland
