team 1,team 2,original team 1 score,original team 2 score,original winner,team 1 threes,team 2 threes,adjusted team 1 score,adjusted team 2 score,adjusted winner
Liberty,Missouri,60,69,Missouri,7,5,53,64,Missouri
Columbia International,Liberty,26,73,Liberty,1,9,25,64,Liberty
South Carolina State,Liberty,52,82,Liberty,8,13,44,69,Liberty
Carver College,Liberty,38,91,Liberty,3,13,35,78,Liberty
Alcorn State,Liberty,65,108,Liberty,6,18,59,90,Liberty
Liberty,Lipscomb,70,77,Lipscomb,7,5,63,72,Lipscomb
Liberty,Lipscomb,66,50,Liberty,12,4,54,46,Liberty
Liberty,Stetson,59,65,Stetson,5,6,54,59,Stetson
Liberty,Stetson,68,58,Liberty,7,9,61,49,Liberty
Lancaster Bible College,Liberty,49,90,Liberty,8,11,41,79,Liberty
North Florida,Liberty,61,73,Liberty,11,9,50,64,Liberty
North Florida,Liberty,60,80,Liberty,7,11,53,69,Liberty
North Alabama,Liberty,54,74,Liberty,6,12,48,62,Liberty
North Alabama,Liberty,54,74,Liberty,5,16,49,58,Liberty
Lipscomb,Lamar,76,73,Lipscomb,10,5,66,68,Lamar
Lipscomb,Tulane,66,68,Tulane,6,9,60,59,Lipscomb
Lipscomb,Cincinnati,55,67,Cincinnati,3,4,52,63,Cincinnati
Lipscomb,Arkansas,50,86,Arkansas,5,11,45,75,Arkansas
Lipscomb,Southeast Missouri State,77,82,Southeast Missouri State,10,10,67,72,Southeast Missouri State
Southeast Missouri State,Lipscomb,74,80,Lipscomb,6,9,68,71,Lipscomb
Belmont,Lipscomb,81,71,Belmont,11,5,70,66,Belmont
Trevecca Nazarene,Lipscomb,45,61,Lipscomb,6,6,39,55,Lipscomb
Crowley's Ridge College,Lipscomb,60,97,Lipscomb,5,12,55,85,Lipscomb
Freed-Hardeman,Lipscomb,72,93,Lipscomb,10,18,62,75,Lipscomb
North Florida,Lipscomb,72,84,Lipscomb,11,6,61,78,Lipscomb
North Florida,Lipscomb,72,67,North Florida,13,6,59,61,Lipscomb
Bluefield State,Lipscomb,56,89,Lipscomb,5,10,51,79,Lipscomb
Lipscomb,Stetson,68,73,Stetson,7,11,61,62,Stetson
Lipscomb,Stetson,69,61,Lipscomb,7,11,62,50,Lipscomb
Lipscomb,North Alabama,66,73,North Alabama,8,11,58,62,North Alabama
Oakwood,North Alabama,74,98,North Alabama,11,10,63,88,North Alabama
Carver College,North Alabama,40,107,North Alabama,4,15,36,92,North Alabama
Troy,North Alabama,62,57,Troy,6,5,56,52,Troy
North Alabama,Indiana,52,87,Indiana,4,13,48,74,Indiana
Crowley's Ridge College,North Alabama,51,99,North Alabama,5,11,46,88,North Alabama
Freed-Hardeman,North Alabama,56,82,North Alabama,5,7,51,75,North Alabama
Stetson,North Alabama,86,77,Stetson,12,10,74,67,Stetson
Stetson,North Alabama,66,73,North Alabama,10,9,56,64,North Alabama
North Alabama,North Florida,82,78,North Alabama,5,9,77,69,North Alabama
North Alabama,North Florida,72,82,North Florida,6,11,66,71,North Florida
North Florida,Eastern Kentucky,67,80,Eastern Kentucky,10,5,57,75,Eastern Kentucky
North Florida,NC State,51,86,NC State,7,8,44,78,NC State
North Florida,Miami,59,77,Miami,12,5,47,72,Miami
North Florida,Florida State,58,86,Florida State,11,7,47,79,Florida State
North Florida,High Point,74,85,High Point,8,3,66,82,High Point
Florida Atlantic,North Florida,79,77,Florida Atlantic,6,15,73,62,Florida Atlantic
North Florida,East Carolina,67,73,East Carolina,8,5,59,68,East Carolina
Florida International,North Florida,77,80,North Florida,9,6,68,74,North Florida
Flagler,North Florida,73,66,Flagler,6,12,67,54,Flagler
Edward Waters,North Florida,71,98,North Florida,3,15,68,83,North Florida
North Florida,Stetson,79,74,North Florida,13,5,66,69,Stetson
North Florida,Stetson,68,85,Stetson,11,9,57,76,Stetson
Emmanuel,Stetson,64,61,Emmanuel,7,7,57,54,Emmanuel
Stetson,Miami,60,82,Miami,11,8,49,74,Miami
Stetson,Florida,40,86,Florida,4,9,36,77,Florida
Stetson,South Florida,62,73,South Florida,8,8,54,65,South Florida
Florida Atlantic,Stetson,69,78,Stetson,3,12,66,66,South Florida
Carver College,Stetson,51,95,Stetson,5,11,46,84,Stetson
Carver College,Stetson,56,110,Stetson,7,19,49,91,Stetson
UMBC,Albany,65,64,UMBC,8,6,57,58,Albany
UMBC,Albany,65,60,UMBC,7,6,58,54,UMBC
Niagara,Albany,70,65,Niagara,6,9,64,56,Niagara
Albany,Vermont,63,62,Albany,5,10,58,52,Albany
Albany,Vermont,66,74,Vermont,10,8,56,66,Vermont
Albany,Saint Joseph's,64,67,Saint Joseph's,8,5,56,62,Saint Joseph's
NJIT,Albany,75,83,Albany,9,8,66,75,Albany
NJIT,Albany,71,83,Albany,7,4,64,79,Albany
Albany,New Hampshire,64,71,New Hampshire,2,8,62,63,New Hampshire
Albany,New Hampshire,83,64,Albany,7,7,76,57,Albany
UMass Lowell,Albany,79,71,UMass Lowell,8,7,71,64,UMass Lowell
UMass Lowell,Albany,69,81,Albany,7,6,62,75,Albany
Stony Brook,Albany,59,43,Stony Brook,9,4,50,39,Stony Brook
Stony Brook,Albany,59,67,Albany,3,7,56,60,Albany
NJIT,Albany,66,76,Albany,4,8,62,68,Albany
Albany,Hartford,77,83,Hartford,5,8,72,75,Hartford
Marist,Binghamton,68,65,Marist,6,8,62,57,Marist
Binghamton,Marist,60,64,Marist,8,3,52,61,Marist
Youngstown State,Binghamton,79,65,Youngstown State,8,9,71,56,Youngstown State
Stony Brook,Binghamton,73,59,Stony Brook,5,8,68,51,Stony Brook
Stony Brook,Binghamton,80,70,Stony Brook,8,11,72,59,Stony Brook
Binghamton,UMBC,67,74,UMBC,12,12,55,62,UMBC
Binghamton,UMBC,75,69,Binghamton,15,7,60,62,UMBC
Binghamton,Hartford,56,76,Hartford,9,8,47,68,Hartford
Binghamton,Hartford,74,77,Hartford,9,13,65,64,Binghamton
Vermont,Binghamton,76,60,Vermont,6,8,70,52,Vermont
Vermont,Binghamton,84,44,Vermont,11,2,73,42,Vermont
UMass Lowell,Binghamton,92,78,UMass Lowell,10,10,82,68,UMass Lowell
UMass Lowell,Binghamton,77,67,UMass Lowell,9,9,68,58,UMass Lowell
New Hampshire,Binghamton,44,65,Binghamton,4,7,40,58,Binghamton
New Hampshire,Binghamton,71,65,New Hampshire,7,7,64,58,New Hampshire
Binghamton,NJIT,76,63,Binghamton,11,7,65,56,Binghamton
Binghamton,NJIT,72,58,Binghamton,7,3,65,55,Binghamton
Binghamton,Hartford,60,77,Hartford,6,10,54,67,Hartford
Hartford,UConn,57,69,UConn,4,5,53,64,UConn
Villanova,Hartford,87,53,Villanova,15,7,72,46,Villanova
Hartford,Fairfield,66,61,Hartford,8,7,58,54,Hartford
Central Connecticut,Hartford,65,80,Hartford,6,12,59,68,Hartford
Fairfield,Hartford,54,67,Hartford,4,5,50,62,Hartford
Maine,Hartford,60,63,Hartford,9,9,51,54,Hartford
Maine,Hartford,50,65,Hartford,7,9,43,56,Hartford
Hartford,New Hampshire,69,77,New Hampshire,14,7,55,70,New Hampshire
Hartford,New Hampshire,51,53,New Hampshire,5,5,46,48,New Hampshire
Hartford,UMass Lowell,62,71,UMass Lowell,6,3,56,68,UMass Lowell
Hartford,UMass Lowell,75,58,Hartford,6,5,69,53,Hartford
Hartford,UMBC,70,63,Hartford,6,6,64,57,Hartford
Hartford,UMBC,49,57,UMBC,8,2,41,55,UMBC
Hartford,Stony Brook,59,57,Hartford,3,8,56,49,Hartford
